Post Name,Legality,Category,Our Category,Seller,Description,Shipping From,Link to Post,,,,ranking,Seller,Rating,Sales,country of origin (est),
Amazon LIVE Method Tested In May 100% Working,Depends,Accounts,Tutorials,MiamiVice,not really clear hwat the method is or what it does,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=08XyqRY0QYakoBzO,,,,1,MiamiVice,96,2965,MiamiVice,
MONEY LION BANK DROP,Illegal,Accounts,Stolen Credentials,feggmann,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=02zZZarR7U58qyJq,,,,2,LuckySupply,97,1088,,
Cloning Contactless Credit Cards - NFC,Depends,Accounts,Tutorials,MiamiVice,"If the person cloning their owncredit card, then it is not necessarily illegal.",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1EJRQpZqkcOaBLXw,,,,3,fullzipp,95,975,,
How To Spread Your Malware Using Runescape,Depends,Accounts,Tutorials,MiamiVice,It is only illegal once the customer actually uses this knowledge to commit malicious actions.,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1Jy9k9B3dz9eANBB,,,,4,GoldApple,97,877,,#NAME?
VIDEO - Latest Carding Guide CC/CVV to gift Cards,Depends ,Accounts,Tutorials,MiamiVice,"This contains a tutorial on how to cashout gift cards, and a list of cardable websites. The list intself is legal but the tutorial is not",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0dCcVrvMnX5sFO9B ,,,,5,tomandjerry,97,872,,
The Art And Science of Cooking With Cannabis 50 + r,Legal,Accounts,Tutorials,MiamiVice,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0n4irZHd1mdRZlVM,,,,6,trusteelucky,92,804,,
Cash Out ANY Bank Account & Make a Killing,Depends,Accounts,Tutorials,Hackboy,"as the offer just provides a tutorial on how to perform scams it could be used for educational purposes, however using this info to your own advantage would be illigal.",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0xFHX7XRb6IRxZcK,,,,7,WA2018,100,558,,
Airbnb verified accounts,Depends,Accounts,Stolen Credentials,fraudbuddy,"assuming this offer provides the buyer with a list of credentials for verified airbnb accounts. If these accounts were all made by the seller, it might not be illigal. But if these account credentials were stolen the offer would be illigal.",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0xlnFG7dmhI834P6,,,,8,bearft2,99,455,,
100 x Adderall IR 30mg Tabs -free Shipping-Usa 2 Us Domestic,Depends,Adderal & Vyvanse,Prescription Medication,Muankum12,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1JGtX3Z197yAhRao,,,,9,Hackboy,97,451,,
Adderall (b974) 30mg tablet x 25 - (USA),Depends,Adderal & Vyvanse,Prescription Medication,LuckySupply,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1KxRz3b9EyJp3rUY,,,,10,Cannabuds,99,407,,
500 Bars x 2.5mg Xanax R039......USA - USA ,Depends,Benzos,Prescription Medication,ezinpharma,Xanax can be perscribed and thus could be legal to some. Without prescription is illegal.,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0LMOksMrP8IbxOV8,,,,11,DrugzFromNL,93,385,,
Diazepam / valium Real from pharmacy,Depends,Benzos,Prescription Medication,comberUK,It’s a prescription narcotic ,GB,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0uRfFYnSZ2qIWG7W,,,,12,ChemicPirates,97,360,,
Pharmacy Cannabis - 1 Gram Bedrocan - Medicinal Marihuana,Depends ,Buds & Flowers,Soft Drugs,Safety1st,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=05AlEJo7BfnDHgRG,,,,13,flexowned,95,356,,
0.5gr of G13 Haze - Import - THC 20% / High Quality,Depends ,Buds & Flowers,Soft Drugs,FENDI1,Under 5g its legal for possesion and this is 0.5gr which is ,GB,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0BHA27RUo0PrcVF3,,,,14,vicebuddy,96,330,,
0.5g - Crystal Methamphetamine 96% Crystal clear Ice!,Illegal,Buds & Flowers,Soft Drugs,DutchSupreme,put under the wrong category we think as it is meth,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0139Dqt4DuknLZrJ,,,,15,prettypacks,99,329,,
Platinum Bubba Kush INDOOR,Depends,Buds & Flowers,Soft Drugs,WA2018,no grams are indicateed to determine if its illegal ,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0ASPqOM022ZML8Ep,,,,16,dreamjar,100,321,,
